stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched,age_years
Dogs,86,631,0.56219,0.46401,1.5-2 y,1.871428571,No,1.727583846680356
Feist,87,344,0.67976,0.67312,.5-1 y,1.325,Yes,0.9418206707734429
Pentatonix,87,344,0.59833,0.73806,.5-1 y,1.325,Yes,0.9418206707734429
Plane,87,344,0.55692,0.61118,.5-1 y,1.325,No,0.9418206707734429
Dogs,87,344,0.59606,0.64138,.5-1 y,1.325,No,0.9418206707734429
Feist,88,271,0.60705,0.64032,.5-1 y,1.25,No,0.7419575633127995
Science,88,271,0.71977,0.74953,.5-1 y,1.25,No,0.7419575633127995
Plane,88,271,0.71407,0.67821,.5-1 y,1.25,No,0.7419575633127995
Dogs,88,271,0.58504,0.66145,.5-1 y,1.25,No,0.7419575633127995
Feist,90,725,0.55916,0.58578,1.5-2 y,1.314285714,No,1.9849418206707734
Pentatonix,90,725,0.63217,0.68673,1.5-2 y,1.314285714,No,1.9849418206707734
Science,90,725,0.57118,0.58814,1.5-2 y,1.314285714,No,1.9849418206707734
Plane,90,725,0.52717,0.57842,1.5-2 y,1.314285714,No,1.9849418206707734
Dogs,90,725,0.61122,0.57586,1.5-2 y,1.314285714,No,1.9849418206707734
Feist,91,571,0.54625,0.5849,1.5-2 y,1.4,No,1.5633127994524298
Pentatonix,91,571,0.49867,0.55768,1.5-2 y,1.4,No,1.5633127994524298
Science,91,571,0.744,0.60621,1.5-2 y,1.4,No,1.5633127994524298
Plane,91,571,0.5152,0.57215,1.5-2 y,1.4,No,1.5633127994524298
Dogs,91,571,0.48148,0.44919,1.5-2 y,1.4,No,1.5633127994524298
Feist,92,590,0.62694,0.67036,1.5-2 y,1.628571429,No,1.6153319644079398
